player,nationality,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team_x,opponent_x,gameweek_x,season_long,position,position_2,position_3,position_4,season_x,minutes_per90,match_teams,season_match_teams,home_team_x,away_team_x,season_y,gameweek_y,home_team_y,home_xg,away_xg,away_team_y,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,team_y,opponent_y,match_teams_y,season_match_teams_y,age_per90,goals_per90,assists_per90,pens_made_per90,pens_att_per90,shots_per90,shots_on_target_per90,cards_yellow_per90,cards_red_per90,touches_per90,tackles_per90,interceptions_per90,blocks_per90,xg_per90,npxg_per90,xg_assist_per90,sca_per90,gca_per90,passes_completed_per90,passes_per90,passes_pct_per90,progressive_passes_per90,carries_per90,progressive_carries_per90,take_ons_per90,take_ons_won_per90,passes_total_distance_per90,passes_progressive_distance_per90,passes_completed_short_per90,passes_short_per90,passes_pct_short_per90,passes_completed_medium_per90,passes_medium_per90,passes_pct_medium_per90,passes_completed_long_per90,passes_long_per90,passes_pct_long_per90,pass_xa_per90,assisted_shots_per90,passes_into_final_third_per90,passes_into_penalty_area_per90,crosses_into_penalty_area_per90,passes_live_per90,passes_dead_per90,passes_free_kicks_per90,through_balls_per90,passes_switches_per90,crosses_per90,throw_ins_per90,corner_kicks_per90,corner_kicks_in_per90,corner_kicks_out_per90,corner_kicks_straight_per90,passes_offsides_per90,passes_blocked_per90,tackles_won_per90,tackles_def_3rd_per90,tackles_mid_3rd_per90,tackles_att_3rd_per90,challenge_tackles_per90,challenges_per90,challenge_tackles_pct_per90,challenges_lost_per90,blocked_shots_per90,blocked_passes_per90,tackles_interceptions_per90,clearances_per90,errors_per90,touches_def_pen_area_per90,touches_def_3rd_per90,touches_mid_3rd_per90,touches_att_3rd_per90,touches_att_pen_area_per90,touches_live_ball_per90,take_ons_won_pct_per90,take_ons_tackled_per90,take_ons_tackled_pct_per90,carries_distance_per90,carries_progressive_distance_per90,carries_into_final_third_per90,carries_into_penalty_area_per90,miscontrols_per90,dispossessed_per90,passes_received_per90,progressive_passes_received_per90,cards_yellow_red_per90,fouls_per90,fouled_per90,offsides_per90,pens_won_per90,pens_conceded_per90,own_goals_per90,ball_recoveries_per90,aerials_won_per90,aerials_lost_per90,aerials_won_pct_per90,minutes_per90_per90,home_xg_per90,away_xg_per90,home_score_per90,away_score_per90,Unnamed: 0_per90
Hector Bellerin,ESP,23,90.0,0,0,0,0,0,0,0,0,62.0,1.0,1,2.0,0.0,0.0,0.0,1.0,0.0,42.0,47.0,89.4,3.0,25.0,2.0,2.0,0.0,725.0,203.0,20.0,20.0,100.0,17.0,21.0,81.0,5.0,6.0,83.3,0.0,0.0,0.0,1.0,0.0,35.0,12.0,0.0,0.0,0.0,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,4.0,24.0,29.0,10.0,0.0,62.0,0.0,2.0,100.0,136.0,46.0,2.0,0.0,2.0,0.0,29.0,3.0,0,1,0,0,0.0,0.0,0,6.0,1.0,2.0,33.3,False,Arsenal,Huddersfield,38,2017-2018,RB,None,None,None,2017,1.0,Arsenal_Huddersfield,Arsenal_Huddersfield_2017,Huddersfield,Arsenal,2017,38,Huddersfield,1.7,2.0,Arsenal,0.0,1.0,2018-05-13,Michael Oliver,The John Smith's Stadium,Sun,15:00,"24,122",418,Arsenal,Huddersfield,Huddersfield,Arsenal,Arsenal_Huddersfield,Arsenal_Huddersfield_2017,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,42.0,47.0,89.4,3.0,25.0,2.0,2.0,0.0,725.0,203.0,20.0,20.0,100.0,17.0,21.0,81.0,5.0,6.0,83.3,0.0,0.0,0.0,1.0,0.0,35.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,4.0,24.0,29.0,10.0,0.0,62.0,0.0,2.0,100.0,136.0,46.0,2.0,0.0,2.0,0.0,29.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,33.3,1.0,1.7,2.0,0.0,1.0,418.0
David Ospina,COL,29,90.0,0,0,0,0,0,0,0,0,50.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,48.0,68.8,0.0,28.0,0.0,0.0,0.0,865.0,677.0,7.0,7.0,100.0,14.0,14.0,100.0,12.0,27.0,44.4,0.0,0.0,0.0,0.0,0.0,36.0,12.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,173.0,149.0,1.0,1.0,0.0,0.0,19.0,0.0,0,0,2,0,0.0,0.0,0,3.0,0.0,0.0,0.0,False,Arsenal,Huddersfield,38,2017-2018,GK,None,None,None,2017,1.0,Arsenal_Huddersfield,Arsenal_Huddersfield_2017,Huddersfield,Arsenal,2017,38,Huddersfield,1.7,2.0,Arsenal,0.0,1.0,2018-05-13,Michael Oliver,The John Smith's Stadium,Sun,15:00,"24,122",418,Arsenal,Huddersfield,Huddersfield,Arsenal,Arsenal_Huddersfield,Arsenal_Huddersfield_2017,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,48.0,68.8,0.0,28.0,0.0,0.0,0.0,865.0,677.0,7.0,7.0,100.0,14.0,14.0,100.0,12.0,27.0,44.4,0.0,0.0,0.0,0.0,0.0,36.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,173.0,149.0,1.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.7,2.0,0.0,1.0,418.0
Alexandre Lacazette,FRA,27,45.0,0,0,0,0,1,0,0,0,18.0,0.0,0,0.0,0.3,0.3,0.0,0.0,0.0,10.0,12.0,83.3,2.0,10.0,1.0,0.0,0.0,132.0,52.0,7.0,7.0,100.0,1.0,3.0,33.3,1.0,1.0,100.0,0.0,0.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,7.0,6.0,1.0,18.0,0.0,0.0,0.0,60.0,24.0,1.0,0.0,1.0,0.0,16.0,5.0,0,1,1,1,0.0,0.0,0,3.0,1.0,3.0,25.0,True,Arsenal,Huddersfield,16,2018-2019,FW,None,None,None,2018,0.5,Arsenal_Huddersfield,Arsenal_Huddersfield_2018,Arsenal,Huddersfield,2018,16,Arsenal,1.4,0.3,Huddersfield,1.0,0.0,2018-12-08,Paul Tierney,Emirates Stadium,Sat,15:00,"59,893",170,Arsenal,Huddersfield,Arsenal,Huddersfield,Arsenal_Huddersfield,Arsenal_Huddersfield_2018,54.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,20.0,24.0,166.6,4.0,20.0,2.0,0.0,0.0,264.0,104.0,14.0,14.0,200.0,2.0,6.0,66.6,2.0,2.0,200.0,0.0,0.0,2.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,10.0,14.0,12.0,2.0,36.0,0.0,0.0,0.0,120.0,48.0,2.0,0.0,2.0,0.0,32.0,10.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,6.0,2.0,6.0,50.0,1.0,2.8,0.6,2.0,0.0,340.0
Henrikh Mkhitaryan,ARM,29,45.0,0,0,0,0,2,0,0,0,32.0,1.0,0,2.0,0.1,0.1,0.1,2.0,0.0,16.0,26.0,61.5,2.0,15.0,2.0,1.0,1.0,208.0,53.0,9.0,15.0,60.0,4.0,5.0,80.0,2.0,3.0,66.7,0.1,1.0,1.0,1.0,0.0,24.0,2.0,0.0,1.0,0.0,4,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,16.0,15.0,1.0,32.0,100.0,0.0,0.0,130.0,44.0,0.0,0.0,0.0,0.0,22.0,4.0,0,1,1,0,0.0,0.0,0,4.0,1.0,2.0,33.3,True,Arsenal,Huddersfield,16,2018-2019,RW,None,None,None,2018,0.5,Arsenal_Huddersfield,Arsenal_Huddersfield_2018,Arsenal,Huddersfield,2018,16,Arsenal,1.4,0.3,Huddersfield,1.0,0.0,2018-12-08,Paul Tierney,Emirates Stadium,Sat,15:00,"59,893",170,Arsenal,Huddersfield,Arsenal,Huddersfield,Arsenal_Huddersfield,Arsenal_Huddersfield_2018,58.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,64.0,2.0,0.0,4.0,0.2,0.2,0.2,4.0,0.0,32.0,52.0,123.0,4.0,30.0,4.0,2.0,2.0,416.0,106.0,18.0,30.0,120.0,8.0,10.0,160.0,4.0,6.0,133.4,0.2,2.0,2.0,2.0,0.0,48.0,4.0,0.0,2.0,0.0,8.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,32.0,30.0,2.0,64.0,200.0,0.0,0.0,260.0,88.0,0.0,0.0,0.0,0.0,44.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,66.6,1.0,2.8,0.6,2.0,0.0,340.0
Pierre-Emerick Aubameyang,GAB,29,90.0,0,1,0,0,4,0,0,0,30.0,0.0,0,1.0,0.6,0.6,0.4,2.0,2.0,14.0,20.0,70.0,1.0,13.0,2.0,0.0,0.0,142.0,21.0,10.0,13.0,76.9,2.0,2.0,100.0,0.0,0.0,0.0,0.6,1.0,1.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,16.0,7.0,30.0,0.0,0.0,0.0,69.0,39.0,0.0,1.0,2.0,0.0,22.0,6.0,0,1,1,1,0.0,0.0,0,1.0,3.0,4.0,42.9,True,Arsenal,Huddersfield,16,2018-2019,FW,None,None,None,2018,1.0,Arsenal_Huddersfield,Arsenal_Huddersfield_2018,Arsenal,Huddersfield,2018,16,Arsenal,1.4,0.3,Huddersfield,1.0,0.0,2018-12-08,Paul Tierney,Emirates Stadium,Sat,15:00,"59,893",170,Arsenal,Huddersfield,Arsenal,Huddersfield,Arsenal_Huddersfield,Arsenal_Huddersfield_2018,29.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,30.0,0.0,0.0,1.0,0.6,0.6,0.4,2.0,2.0,14.0,20.0,70.0,1.0,13.0,2.0,0.0,0.0,142.0,21.0,10.0,13.0,76.9,2.0,2.0,100.0,0.0,0.0,0.0,0.6,1.0,1.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,16.0,7.0,30.0,0.0,0.0,0.0,69.0,39.0,0.0,1.0,2.0,0.0,22.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,42.9,1.0,1.4,0.3,1.0,0.0,170.0
Sead Kolasinac,BIH,25,90.0,0,0,0,0,0,0,0,0,53.0,4.0,0,1.0,0.0,0.0,0.0,2.0,0.0,28.0,41.0,68.3,3.0,24.0,1.0,1.0,0.0,424.0,172.0,16.0,16.0,100.0,9.0,13.0,69.2,2.0,5.0,40.0,0.0,1.0,1.0,2.0,1.0,33.0,8.0,0.0,0.0,0.0,3,8.0,0.0,0.0,0.0,0.0,0.0,2.0,3,3.0,1.0,0.0,2.0,3.0,66.7,1.0,0.0,1.0,4.0,1.0,0.0,1.0,18.0,17.0,19.0,3.0,53.0,0.0,1.0,100.0,101.0,38.0,3.0,1.0,3.0,2.0,27.0,7.0,0,0,1,0,0.0,0.0,0,9.0,0.0,1.0,0.0,True,Arsenal,Huddersfield,16,2018-2019,LB,LW,None,None,2018,1.0,Arsenal_Huddersfield,Arsenal_Huddersfield_2018,Arsenal,Huddersfield,2018,16,Arsenal,1.4,0.3,Huddersfield,1.0,0.0,2018-12-08,Paul Tierney,Emirates Stadium,Sat,15:00,"59,893",170,Arsenal,Huddersfield,Arsenal,Huddersfield,Arsenal_Huddersfield,Arsenal_Huddersfield_2018,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,28.0,41.0,68.3,3.0,24.0,1.0,1.0,0.0,424.0,172.0,16.0,16.0,100.0,9.0,13.0,69.2,2.0,5.0,40.0,0.0,1.0,1.0,2.0,1.0,33.0,8.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,2.0,3.0,66.7,1.0,0.0,1.0,4.0,1.0,0.0,1.0,18.0,17.0,19.0,3.0,53.0,0.0,1.0,100.0,101.0,38.0,3.0,1.0,3.0,2.0,27.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,1.0,1.4,0.3,1.0,0.0,170.0
Hector Bellerin,ESP,23,90.0,0,0,0,0,1,0,0,0,60.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,43.0,55.0,78.2,5.0,29.0,1.0,2.0,1.0,654.0,182.0,20.0,24.0,83.3,22.0,26.0,84.6,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,47.0,8.0,0.0,1.0,0.0,1,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.0,29.0,14.0,1.0,60.0,50.0,1.0,50.0,205.0,112.0,2.0,0.0,0.0,0.0,34.0,4.0,0,0,0,0,0.0,0.0,0,7.0,2.0,1.0,66.7,True,Arsenal,Huddersfield,16,2018-2019,RB,RW,None,None,2018,1.0,Arsenal_Huddersfield,Arsenal_Huddersfield_2018,Arsenal,Huddersfield,2018,16,Arsenal,1.4,0.3,Huddersfield,1.0,0.0,2018-12-08,Paul Tierney,Emirates Stadium,Sat,15:00,"59,893",170,Arsenal,Huddersfield,Arsenal,Huddersfield,Arsenal_Huddersfield,Arsenal_Huddersfield_2018,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,43.0,55.0,78.2,5.0,29.0,1.0,2.0,1.0,654.0,182.0,20.0,24.0,83.3,22.0,26.0,84.6,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,47.0,8.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.0,29.0,14.0,1.0,60.0,50.0,1.0,50.0,205.0,112.0,2.0,0.0,0.0,0.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,66.7,1.0,1.4,0.3,1.0,0.0,170.0
Matteo Guendouzi,FRA,19,90.0,0,0,0,0,0,0,1,0,56.0,0.0,1,0.0,0.0,0.0,0.4,7.0,0.0,48.0,52.0,92.3,3.0,35.0,3.0,0.0,0.0,766.0,205.0,29.0,30.0,96.7,16.0,18.0,88.9,3.0,4.0,75.0,0.2,5.0,4.0,2.0,0.0,49.0,3.0,3.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,32.0,14.0,1.0,56.0,0.0,0.0,0.0,199.0,97.0,2.0,0.0,0.0,2.0,40.0,7.0,0,1,0,0,0.0,0.0,0,6.0,1.0,0.0,100.0,True,Arsenal,Huddersfield,16,2018-2019,LM,CM,None,None,2018,1.0,Arsenal_Huddersfield,Arsenal_Huddersfield_2018,Arsenal,Huddersfield,2018,16,Arsenal,1.4,0.3,Huddersfield,1.0,0.0,2018-12-08,Paul Tierney,Emirates Stadium,Sat,15:00,"59,893",170,Arsenal,Huddersfield,Arsenal,Huddersfield,Arsenal_Huddersfield,Arsenal_Huddersfield_2018,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,56.0,0.0,1.0,0.0,0.0,0.0,0.4,7.0,0.0,48.0,52.0,92.3,3.0,35.0,3.0,0.0,0.0,766.0,205.0,29.0,30.0,96.7,16.0,18.0,88.9,3.0,4.0,75.0,0.2,5.0,4.0,2.0,0.0,49.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,32.0,14.0,1.0,56.0,0.0,0.0,0.0,199.0,97.0,2.0,0.0,0.0,2.0,40.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0,1.0,1.4,0.3,1.0,0.0,170.0
Lucas Torreira,URU,22,90.0,1,0,0,0,3,2,0,0,60.0,2.0,0,0.0,0.5,0.5,0.1,3.0,0.0,40.0,47.0,85.1,4.0,36.0,0.0,0.0,0.0,582.0,150.0,22.0,23.0,95.7,13.0,18.0,72.2,2.0,3.0,66.7,0.0,2.0,2.0,0.0,0.0,44.0,3.0,2.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,13.0,33.0,14.0,2.0,60.0,0.0,0.0,0.0,145.0,71.0,0.0,0.0,2.0,2.0,43.0,3.0,0,0,7,0,0.0,0.0,0,7.0,1.0,1.0,50.0,True,Arsenal,Huddersfield,16,2018-2019,RM,CM,None,None,2018,1.0,Arsenal_Huddersfield,Arsenal_Huddersfield_2018,Arsenal,Huddersfield,2018,16,Arsenal,1.4,0.3,Huddersfield,1.0,0.0,2018-12-08,Paul Tierney,Emirates Stadium,Sat,15:00,"59,893",170,Arsenal,Huddersfield,Arsenal,Huddersfield,Arsenal_Huddersfield,Arsenal_Huddersfield_2018,22.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,60.0,2.0,0.0,0.0,0.5,0.5,0.1,3.0,0.0,40.0,47.0,85.1,4.0,36.0,0.0,0.0,0.0,582.0,150.0,22.0,23.0,95.7,13.0,18.0,72.2,2.0,3.0,66.7,0.0,2.0,2.0,0.0,0.0,44.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,13.0,33.0,14.0,2.0,60.0,0.0,0.0,0.0,145.0,71.0,0.0,0.0,2.0,2.0,43.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0,1.0,1.4,0.3,1.0,0.0,170.0
Granit Xhaka,SUI,26,90.0,0,0,0,0,3,0,1,0,114.0,5.0,1,2.0,0.1,0.1,0.4,4.0,0.0,70.0,93.0,75.3,12.0,52.0,1.0,0.0,0.0,1423.0,445.0,21.0,27.0,77.8,35.0,44.0,79.5,11.0,16.0,68.8,0.2,2.0,10.0,2.0,0.0,80.0,13.0,7.0,0.0,1.0,6,2.0,4.0,2.0,1.0,0.0,0.0,4.0,3,3.0,2.0,0.0,3.0,3.0,100.0,0.0,0.0,2.0,6.0,6.0,0.0,6.0,29.0,64.0,21.0,0.0,114.0,0.0,0.0,0.0,325.0,176.0,2.0,0.0,3.0,1.0,68.0,1.0,0,2,4,0,0.0,0.0,0,10.0,5.0,4.0,55.6,True,Arsenal,Huddersfield,16,2018-2019,CM,DM,None,None,2018,1.0,Arsenal_Huddersfield,Arsenal_Huddersfield_2018,Arsenal,Huddersfield,2018,16,Arsenal,1.4,0.3,Huddersfield,1.0,0.0,2018-12-08,Paul Tierney,Emirates Stadium,Sat,15:00,"59,893",170,Arsenal,Huddersfield,Arsenal,Huddersfield,Arsenal_Huddersfield,Arsenal_Huddersfield_2018,26.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,114.0,5.0,1.0,2.0,0.1,0.1,0.4,4.0,0.0,70.0,93.0,75.3,12.0,52.0,1.0,0.0,0.0,1423.0,445.0,21.0,27.0,77.8,35.0,44.0,79.5,11.0,16.0,68.8,0.2,2.0,10.0,2.0,0.0,80.0,13.0,7.0,0.0,1.0,6.0,2.0,4.0,2.0,1.0,0.0,0.0,4.0,3.0,3.0,2.0,0.0,3.0,3.0,100.0,0.0,0.0,2.0,6.0,6.0,0.0,6.0,29.0,64.0,21.0,0.0,114.0,0.0,0.0,0.0,325.0,176.0,2.0,0.0,3.0,1.0,68.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,10.0,5.0,4.0,55.6,1.0,1.4,0.3,1.0,0.0,170.0
Sokratis Papastathopoulos,GRE,30,90.0,0,0,0,0,0,0,1,0,78.0,3.0,4,1.0,0.0,0.0,0.0,1.0,0.0,58.0,65.0,89.2,6.0,47.0,4.0,0.0,0.0,1167.0,371.0,20.0,22.0,90.9,33.0,35.0,94.3,5.0,8.0,62.5,0.0,0.0,4.0,0.0,0.0,62.0,3.0,2.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,0.0,6.0,34.0,43.0,2.0,0.0,78.0,0.0,0.0,0.0,381.0,221.0,3.0,1.0,1.0,0.0,56.0,0.0,0,2,3,0,0.0,0.0,0,8.0,1.0,1.0,50.0,True,Arsenal,Huddersfield,16,2018-2019,CB,None,None,None,2018,1.0,Arsenal_Huddersfield,Arsenal_Huddersfield_2018,Arsenal,Huddersfield,2018,16,Arsenal,1.4,0.3,Huddersfield,1.0,0.0,2018-12-08,Paul Tierney,Emirates Stadium,Sat,15:00,"59,893",170,Arsenal,Huddersfield,Arsenal,Huddersfield,Arsenal_Huddersfield,Arsenal_Huddersfield_2018,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,78.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,58.0,65.0,89.2,6.0,47.0,4.0,0.0,0.0,1167.0,371.0,20.0,22.0,90.9,33.0,35.0,94.3,5.0,8.0,62.5,0.0,0.0,4.0,0.0,0.0,62.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,0.0,6.0,34.0,43.0,2.0,0.0,78.0,0.0,0.0,0.0,381.0,221.0,3.0,1.0,1.0,0.0,56.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,50.0,1.0,1.4,0.3,1.0,0.0,170.0
Shkodran Mustafi,GER,26,65.0,0,0,0,0,0,0,1,0,57.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,45.0,53.0,84.9,3.0,34.0,1.0,0.0,0.0,917.0,289.0,12.0,12.0,100.0,26.0,29.0,89.7,6.0,9.0,66.7,0.0,0.0,2.0,0.0,0.0,50.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,34.0,24.0,0.0,0.0,57.0,0.0,0.0,0.0,177.0,108.0,0.0,0.0,0.0,0.0,39.0,0.0,0,3,0,0,0.0,0.0,0,2.0,2.0,2.0,50.0,True,Arsenal,Huddersfield,16,2018-2019,CB,None,None,None,2018,0.7222222222222222,Arsenal_Huddersfield,Arsenal_Huddersfield_2018,Arsenal,Huddersfield,2018,16,Arsenal,1.4,0.3,Huddersfield,1.0,0.0,2018-12-08,Paul Tierney,Emirates Stadium,Sat,15:00,"59,893",170,Arsenal,Huddersfield,Arsenal,Huddersfield,Arsenal_Huddersfield,Arsenal_Huddersfield_2018,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3846153846153846,0.0,78.92307692307692,1.3846153846153846,1.3846153846153846,0.0,0.0,0.0,0.0,1.3846153846153846,0.0,62.30769230769231,73.38461538461539,117.55384615384617,4.153846153846154,47.07692307692308,1.3846153846153846,0.0,0.0,1269.6923076923076,400.1538461538462,16.615384615384617,16.615384615384617,138.46153846153845,36.0,40.15384615384615,124.2,8.307692307692308,12.461538461538462,92.35384615384616,0.0,0.0,2.769230769230769,0.0,0.0,69.23076923076923,2.769230769230769,2.769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3846153846153846,1.3846153846153846,1.3846153846153846,1.3846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.769230769230769,2.769230769230769,0.0,4.153846153846154,47.07692307692308,33.23076923076923,0.0,0.0,78.92307692307692,0.0,0.0,0.0,245.0769230769231,149.53846153846155,0.0,0.0,0.0,0.0,54.0,0.0,0.0,4.153846153846154,0.0,0.0,0.0,0.0,0.0,2.769230769230769,2.769230769230769,2.769230769230769,69.23076923076923,1.0,1.9384615384615385,0.41538461538461535,1.3846153846153846,0.0,235.3846153846154
